screen_name,favorites_count,followers_count,friends_count,listed_count,statuses_count,scaled_followers,scaled_friends,influence,weighted_influence,cluster,clustering_coeff,degree_centrality,closeness_centrality,label,cycle,triangles,avg_neighbor,majority_neighbor,repliers_cluster_coeff,repliers_closeness,repliers_clique_num,repliers_pagerank,repliers_degree_centrality,connected_to_Trump,connected_to_TheDailyShow,center_node
talkingdeer,13,65,311,0,782,0.00020166607201030048,0.0038805634927566975,0.2090032154340836,4.214885749411425e-05,2.0,0.0007279874786153679,0.0002924746793570138,0.3678207221621062,2,1.0,40.0,0.0,-999.0,0.0,0.2333428451753321,2.0,0.0003313868371232964,0.0011098779134295226,1.0,0.0,0
chachmalone,57516,10026,10294,52,21217,0.03110621596885035,0.12844540384063488,0.9739654167476199,0.0302963785995428,4.0,0.0015756843734733804,0.011524559504061609,0.3946583548238256,0,1.0,134820.0,0.921875,2.0,0.226686507936508,0.2819870005992632,9.0,0.004316720505612817,0.07103218645948946,1.0,0.0,0
JohnMey86222636,58,0,0,0,174,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,-1,0.0,0.0,-999.0,-999.0,0.0,0.0,1.0,0.00023971293693314288,0.0,0.0,0.0,0
ferlindad,42022,288,171,0,16405,0.0008935358267533315,0.002133686036210274,1.6842105263157894,0.0015049024450582422,3.0,0.0,0.0003752837753195418,0.32044706314476057,1,1.0,0.0,-999.0,-999.0,0.0,0.0,1.0,0.00023971293693314288,0.0,0.0,0.0,0
kyestephens4,11309,275,464,3,36907,0.0008532026123512713,0.005789650998839575,0.5926724137931034,0.0005056696517168095,2.0,0.0012149358323139759,0.0006122587414250741,0.3683534502046293,0,1.0,293.0,0.0,-999.0,0.0,0.2333428451753321,2.0,0.0003313868371232964,0.0011098779134295226,1.0,0.0,0
nutranick,41630,1037,919,45,8244,0.003217349487302793,0.01146700273261545,1.1284004352557129,0.0036304585618422173,2.0,0.002149235953092278,0.0011998509436272676,0.3712650475506692,-999,1.0,1992.0,1.0,2.0,0.25,0.2481010012299912,4.0,0.001046968073499763,0.00887902330743618,1.0,0.0,0
mike1962walsh,1474,125,249,14,7844,0.00038781936925057784,0.003106946333428996,0.5020080321285141,0.0001946884383788041,3.0,0.0,0.0,0.0,2,0.0,0.0,-999.0,-999.0,0.0,0.0,1.0,0.00023971293693314288,0.0,0.0,0.0,0
craigmair1138,1252,491,934,21,21969,0.0015233544824162695,0.01165416817438828,0.525695931477516,0.0008008212536042702,3.0,0.0,0.001011328108138108,0.3326031164165287,-2,1.0,0.0,-999.0,-999.0,0.0,0.0,1.0,0.00023971293693314288,0.0,1.0,0.0,0
JCD1278,4426,24,38,1,832,7.446131889611094e-05,0.00047415245249117206,0.631578947368421,4.702820140807006e-05,3.0,0.0,5.285686976331575e-05,0.30122544893575914,-2,1.0,0.0,-999.0,-999.0,0.0,0.0,1.0,0.00023971293693314288,0.0,0.0,0.0,0
hokierose,4604,445,743,0,2484,0.001380636954532057,0.00927092821581423,0.5989232839838493,0.0008268956187978001,1.0,0.0037317660388047017,0.0008113529508668968,0.3730615948520328,2,1.0,1581.0,0.4,2.0,0.7,0.25074412269195845,5.0,0.0005896018835822708,0.005549389567147614,1.0,0.0,0
