id,name,screen_name,location,protected,description,followers_count,friends_count,listed_count,created_time,favorites_count,timezone,verification,statuses_count,language,topic
233218537,OkToBeConservative,kaleidoskeith,,FALSE,"It's okay to be Conservative. We’re all colors, all ages, poor, middle class, the rich and the ultra rich. We value Life, Freedom, Family and Faith! ❤️🇺🇸😊",539,422,2,1/2/2011 16:58,12204,,FALSE,12390,en,cnn
1183314973,❄️🌊🌎🐈Wendy 🐈🌍🌊❄️,WendyPeterPan4u,,FALSE,#resistance THE PEOPLE UNITED WILL NEVER BE DEFEATED,6323,5816,99,2/15/2013 17:44,32266,,FALSE,109868,en,cnn
1608647108,Laura H.🏴‍☠️,chaserblue01,Colorado USA,FALSE,"Shaving my legs with Occam's Razor while ""Alternative Fact"" checking.",1221,1941,0,7/20/2013 17:03,11008,,FALSE,10576,en,cnn
873120733,annuit coeptis,CreoleCoudrain,"Los Angeles, CA",FALSE,,34,125,0,10/11/2012 6:29,315,,FALSE,1134,en,cnn
383717752,Ernesto,Ernestodoggie,,FALSE,,23,44,1,10/2/2011 11:34,5312,,FALSE,1181,en,cnn
3064539303,Steve Work,Seeking_Beta_69,,FALSE,"New York City voted 9 to 1 against Donald Trump, because we already knew him.                                                  -Fran Lebowitz",317,1064,3,2/27/2015 21:12,2466,,FALSE,28062,en,cnn
2278439246,Laddiecomehome,laddiecomehome,"Illinois, USA",FALSE,"just a regular guy who lives on the Southside  Loves puppy’s ,pick up trucks , slow music and watermelon wine",139,211,2,1/6/2014 3:30,19111,,FALSE,1284,en,cnn
3158410088,Ginger,SpicyMustang,"Montana, USA",FALSE,A spicy filly from the wide open spaces of MT. An independent thinker who wants nothing to do with crazies on either side. 🐸🥓🇺🇸 #NeverHillary,848,658,7,4/16/2015 1:54,28333,,FALSE,19309,en,cnn
2499428497,Art Nickel,k0art47,"Shoreline, WA",FALSE,Retired US Navy and VBAPD.,49,124,0,5/16/2014 17:37,1784,,FALSE,3175,en,cnn
8.29841E+17,Rose Marie,Rosemarie4311,United States,FALSE,💙🇺🇸💙#RESISTANCE #FactsMatter #2018BlueWave Proud Mother of a USMarine🐶My favorite person is my Chihuahua. 💙🇺🇸💙 #WarriorForDecency,1191,569,6,2/9/2017 23:54,55583,,FALSE,42108,en,cnn
52816412,Cole,Euro22,,FALSE,,73,226,9,7/1/2009 19:02,5887,,FALSE,6552,en,cnn
715251932,@mline,linermindy,,FALSE,,200,132,1,7/25/2012 1:33,6733,,FALSE,1795,en,cnn
1860158906,David C,Dcdave11,,FALSE,,23,58,2,9/13/2013 10:16,14,,FALSE,13582,en,cnn
8.16694E+17,Andy Carmona,realAndyCarmona,,FALSE,,38,30,2,1/4/2017 17:14,1137,,FALSE,4079,en,cnn
860620351,dadeo,walshfam_ire,,FALSE,"Proud American, Dad, and Small Business Owner. 30 years in Steel Industry. Have a passion for truth. My family bleeds County Kerry green and Eagles green.",69,157,0,10/4/2012 1:05,11030,,FALSE,790,en,cnn
8.76276E+17,v|ncent2076,rvincent1776,"Wastelands, USA",FALSE,Seeker of the Truth | Aficionado of Independent Thinking | Defender of the #MAGA Bots 🤖🤖,95,322,0,6/18/2017 3:09,4718,,FALSE,3861,en,cnn
8.98225E+17,R.G.B.,Uroncrack,Sulphur springs tx,FALSE,,39,65,0,8/17/2017 16:46,7527,,FALSE,1976,en,cnn
8.68988E+17,Shawn Ayers,SpaceGhost_75,"Michigan, USA",FALSE,"Preachers kid , Dad of two , blessed husband to an amazing women , companion to a husky named Lobo. Great blues and a quality whiskey neat will fix a lot.",90,308,0,5/29/2017 0:30,295,,FALSE,1083,en,cnn
7.63877E+17,Carla Browning,AndreaTheiss2,bluegrass,FALSE,"Republican,BS, Applied Science major. Researcher#KAG",291,207,3,8/11/2016 23:18,26447,,FALSE,35699,en,cnn
8.23733E+17,RJP,10th_Mt_Warrior,Oklahoma,FALSE,"10th Mountain Div Infantry US Army Vet 
#Trumpsupporter1",121,72,0,1/24/2017 3:22,20201,,FALSE,9256,en,cnn
2955593832,Kate Margaret,MargretKate,IDK,FALSE,Activist. Lover of humanity. 18 yrs. Progressive visionary. The young people will win!,142,671,2,1/2/2015 5:32,11157,,FALSE,2815,en,cnn
9.66337E+17,Bill Harrison,BillHar64659704,"Spanaway, WA",FALSE,"I’m just an old broken man, who has a broken back and bladder cancer and unable to work! Not looking for any kind of relationship, sorry lady’s! Trump in 2020!",1204,2284,5,2/21/2018 15:40,1595,,FALSE,3287,en,cnn
1323769675,Gail,gbonagofski,"Washington, USA",FALSE,#VoteGOP2018 #WhyWeMarch #EndAbortion #DefundPP #NeverForgetRyan #teaparty #NationalSanctityOfHumanLife #ConventionofStates #QAnon #SpyGate #2018Midterms,1445,1394,87,4/3/2013 3:19,76711,,FALSE,78079,en,cnn
4564135223,TruthWarrior🐘👍🏼,truthwarrior324,United States,FALSE,"Retired RN,Golfer, oh yeah... & I’m proudly in the basket of deplorables. #MAGA🇺🇸#FBTS #walkaway. PS.. I guess I have a smell too.😬",2234,2100,10,12/22/2015 4:38,23230,,FALSE,26046,en,cnn
1490481792,James E. Samuel,esamuel101,Virginia ,FALSE,40+ years in Law Enforcement,72,91,0,6/7/2013 14:18,3873,,FALSE,4934,en,cnn
40773807,RHinegardner,RHinegardner,Allen,FALSE,#MAGA,379,618,4,5/18/2009 0:44,7493,,FALSE,11152,en,cnn
1347076652,Ame Brink,Brinksknowsbett,"Yokosuka, Japan, Tokyo",FALSE,"Graphic Designer, and Digital Media artist.",11,25,0,4/12/2013 15:28,743,,FALSE,366,en,cnn
7.13405E+17,Raisa Katz,raisak715,,FALSE,,20,85,1,3/25/2016 16:40,742,,FALSE,4158,en,cnn
885950761,Freedom NOT Leftism,DeplorableBUM,,FALSE,"CONSERVATIVE, unhyphenated AMERICAN; Statements in response to Leftwing blather. Army Vietnam Veteran. Support the founding concept of America. NO to Globalism.",510,455,4,10/17/2012 3:17,9693,,FALSE,18894,en,cnn
7.45759E+17,Mz. Maddox,mamajefferson2,"Atlanta, GA",FALSE,,75,284,5,6/22/2016 23:24,1273,,FALSE,12028,en,cnn
1099566632,Christopher O,CORredbank,"Palm Beach, FL",TRUE,,27,228,1,1/17/2013 23:52,3406,,FALSE,3962,en,cnn
7.97585E+17,Tombstone,DocHollday70,Ohio,FALSE,"Da Bears, Blackhawks,  NRA, Independent,  Western Movies and Premium Cigars, Don't Tread on Me,",258,688,1,11/12/2016 23:39,11127,,FALSE,3015,en,cnn
193589482,Ginger Merritt,ScarletRoseRed,Texas,FALSE,"God,Bible,Constitution,USA,Texas,Family,Friends,Founding Fathers,Alamo,Fight4 What is Worth Saving,Learn How 2Explain Why It's Right,Get Out of Their Fake Box",3690,2713,104,9/22/2010 5:50,45181,,FALSE,86131,en,cnn
9.11758E+17,Joel,baller6388,"Whittier, CA",FALSE,I’m a foodie and a damn good cook. Proud American #lakers #chargers #Yankees,23,145,0,9/24/2017 1:04,2046,,FALSE,2818,en,cnn
