,tweet_id,user_id,screen_name,text,time,topic
23,9.6721E+17,187073252,Ionlytwatdrunk,"There should be a go fund me for this kid, he deserves something for being a brave young man and being on a path to be one of our nation's finest.",2/24/2018 1:30,cnn
24,9.67249E+17,196007440,MIKECLINEcom,,2/24/2018 4:04,cnn
25,9.67228E+17,319979683,jimkngo,,2/24/2018 2:40,cnn
26,9.67193E+17,2859894154,TheBikeAttorney,They just debunked this one too pizza clown.,2/24/2018 0:22,cnn
27,9.6691E+17,18923609,TheTwoMajesties,,2/23/2018 5:39,cnn
28,9.66853E+17,26055993,TammyMWebster,CNN only wants to spread their narrative. These JROTC members would be the ppl that CNN would look for if there was an active shooter. Can’t bounce bullets off of fake news!,2/23/2018 1:50,cnn
29,9.66805E+17,2923384511,jminton287,His dad pulled him. You are misinformed.,2/22/2018 22:39,cnn
30,9.66803E+17,4434479356,ArthurDanse,"THE KID DECLINED TO GO.
STOP SPREADING BULLSHIT.",2/22/2018 22:32,cnn
31,9.66799E+17,8.1724E+17,tommyBoomboom,,2/22/2018 22:18,cnn
32,9.66795E+17,16305949,pbarragan,The teen’s father pulled him from the town hall appearance -Not CNN! Stop spreading fake news! So in reality the father censored his own son.,2/22/2018 22:02,cnn
33,9.66757E+17,8.06143E+17,Skepticalfa,The Citizen was guilty of WrongThink. It was right to suppress his WrongSpeech. He could have spread his WrongThink. The reeducation camps are very concentrated now. Should they become too full...,2/22/2018 19:31,cnn
34,9.66742E+17,1347076652,Brinksknowsbett,"I will said prove it, show the paper with the script, period.",2/22/2018 18:28,cnn
35,9.66669E+17,277049262,lesleasays,Again this is BS! #ImWithTheKids #imwithcnn,2/22/2018 13:40,cnn
36,9.66667E+17,7.46346E+17,JeffreyMDavids1,If a teacher is not willing to take up arms to defend their students lives. They need to go.,2/22/2018 13:33,cnn
37,9.66647E+17,7.31844E+17,RaptorsUniverse,Says who that he was censored?,2/22/2018 12:11,cnn
38,9.66643E+17,172883388,FreePat62,So CNN was screening questions. Disgusting,2/22/2018 11:55,cnn
39,9.66566E+17,8.60691E+17,The_Gray_Alien,"@cnnbrk posted video segments all night as the town hall was happening. Did anyone see that video segment of everyone booing a story about a rape that could have possibly been avoided if the woman had a gun? Yeah, neither did I.",2/22/2018 6:49,cnn
