tweet_id,user_id,screen_name,text,time,Fake News
9.78E+17,3309890767,CampKayio,"I totally got waaaaayyyy ore than $300, Veterans can get anywhere from $20,000 to $200,000 for showing up in uniform.. I only had to do about 3 marches before I became independently wealthy....",3/26/2018 11:27,CAUGHT RED HANDED! #MarchForOurLives organizers paid protestors as much as $300 each!
9.78E+17,8.05E+17,dmarscout,Remember this hero? No one had to pay him in fact he walked away from millions of dollars to defend freedom not attack it,3/25/2018 19:19,CAUGHT RED HANDED! #MarchForOurLives organizers paid protestors as much as $300 each!
9.79E+17,9.50E+17,drugsandmedicin,This is why it is not relevant. A fraud of a march.,3/27/2018 16:15,CAUGHT RED HANDED! #MarchForOurLives organizers paid protestors as much as $300 each!
9.78E+17,253257813,elyse4design,"They are hiring people to sell merchandise, not to march, you illiterate dumbass.",3/26/2018 12:46,CAUGHT RED HANDED! #MarchForOurLives organizers paid protestors as much as $300 each!
9.78E+17,1512360512,Sugarbum1111,You are sad,3/25/2018 14:48,CAUGHT RED HANDED! #MarchForOurLives organizers paid protestors as much as $300 each!
9.78E+17,9.52E+17,CraigCr97665875,Open proof of Demented Democrat CORRUPTS DIRTY’S OUT RIGHT ATTACKING AMERICA! I believe all good Americans have come to the point of revolution taking up our right to bear arms to protect American Constitution and Bill of Rights! Demented Democrats Enemy!,3/26/2018 12:27,CAUGHT RED HANDED! #MarchForOurLives organizers paid protestors as much as $300 each!
9.80E+17,8.94E+17,LisaASchulz2,Anyone can post an ad on Craig’s list- they don’t do a lot of vetting.,3/31/2018 23:55,CAUGHT RED HANDED! #MarchForOurLives organizers paid protestors as much as $300 each!
9.78E+17,9.70E+17,token71676485,George Soros is an American citizen.,3/25/2018 17:17,CAUGHT RED HANDED! #MarchForOurLives organizers paid protestors as much as $300 each!
9.78E+17,16659311,DD733,"To sell T-shirts, Zippy",3/25/2018 23:45,CAUGHT RED HANDED! #MarchForOurLives organizers paid protestors as much as $300 each!
9.78E+17,9.19E+17,disqus_sk_user,"Hey moron, read the ad. It is for 25 people to sell merchandise, not protest.",3/25/2018 15:35,CAUGHT RED HANDED! #MarchForOurLives organizers paid protestors as much as $300 each!
9.78E+17,3589878313,Politicallyin18,Lord knows that these lazy basements dwellers wouldn't have done it for free.,3/27/2018 2:27,CAUGHT RED HANDED! #MarchForOurLives organizers paid protestors as much as $300 each!
9.78E+17,574791384,jmack0813,Well crap! If I’d known that I would’ve showed up packin’!,3/25/2018 23:58,CAUGHT RED HANDED! #MarchForOurLives organizers paid protestors as much as $300 each!
9.78E+17,128091413,DRADAIV,@davidhogg111 how much you were paid?,3/26/2018 13:51,CAUGHT RED HANDED! #MarchForOurLives organizers paid protestors as much as $300 each!
9.78E+17,214131069,QueenofDrkns,When are you going to jail and will they keep you off the internet?,3/26/2018 12:14,CAUGHT RED HANDED! #MarchForOurLives organizers paid protestors as much as $300 each!
9.78E+17,3368660009,oOoMellieoOo,How are you on Twitter if you can't read?,3/25/2018 13:56,CAUGHT RED HANDED! #MarchForOurLives organizers paid protestors as much as $300 each!
9.78E+17,22962349,picassobox,You cannot be this moronic.  Did you bother to read the posting? It was for sales people selling pins and shit.  You clearly are daft beyond repair...,3/25/2018 18:18,CAUGHT RED HANDED! #MarchForOurLives organizers paid protestors as much as $300 each!
9.78E+17,3236191927,JeromeDaniels16,Really how sad are you .,3/26/2018 2:02,CAUGHT RED HANDED! #MarchForOurLives organizers paid protestors as much as $300 each!
9.78E+17,108200227,JustDoWrite445,"And another point... the astounding number of cities/school districts (like Baltimore City @MayorPugh50) who bragged about sending 3,000 students on 60 busses (with free t-shirts & meals) at an estimated cost to the City Schools of over $100,000.",3/26/2018 21:13,CAUGHT RED HANDED! #MarchForOurLives organizers paid protestors as much as $300 each!
9.78E+17,264231258,NoVaTwitr,You’re struggling badly. Try different lies you lying pig.,3/25/2018 14:17,CAUGHT RED HANDED! #MarchForOurLives organizers paid protestors as much as $300 each!
9.79E+17,16163601,ChrisAGilbert,Bull fucking shit. Because not just anyone can take out a Craigslist ad. You probably did that yourself. You're a fucking garbage heap.,3/27/2018 7:17,CAUGHT RED HANDED! #MarchForOurLives organizers paid protestors as much as $300 each!
9.78E+17,8.87E+17,Brooklynmom1,Sorros for sure,3/25/2018 21:31,CAUGHT RED HANDED! #MarchForOurLives organizers paid protestors as much as $300 each!
9.78E+17,52119715,dlfield,They probably make the most $$ off anti-capitalism events LMAO,3/25/2018 13:48,CAUGHT RED HANDED! #MarchForOurLives organizers paid protestors as much as $300 each!
9.78E+17,2244048560,ALScribner2,"Jacob Wohl is dishonest, crooked, little traitor.",3/26/2018 22:03,CAUGHT RED HANDED! #MarchForOurLives organizers paid protestors as much as $300 each!
9.78E+17,9.23E+17,lightonterra,Did you see the post of a Emma Gonzalez 'ripping up our Constitution' with 3 others?,3/25/2018 19:53,CAUGHT RED HANDED! #MarchForOurLives organizers paid protestors as much as $300 each!
9.78E+17,173996093,Wilfredo_Rosado,You’re a pathetic idiot!,3/25/2018 16:59,CAUGHT RED HANDED! #MarchForOurLives organizers paid protestors as much as $300 each!
9.78E+17,7.54E+17,dlundy3604,Wow... it's a Craigslist ad so I guess it must be true.... LMFAO ,3/25/2018 16:44,CAUGHT RED HANDED! #MarchForOurLives organizers paid protestors as much as $300 each!
9.78E+17,48251407,Suectoo,I’m more apt to believe it was the NRA being underhanded as usual! No one needed to be paid to protest; these people are passionate!,3/26/2018 14:48,CAUGHT RED HANDED! #MarchForOurLives organizers paid protestors as much as $300 each!
